condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
POP4,116,2000,0.00124198361299932,0.022549225017428398,0.5808690554459308,0.5808690554459308,0.3244684408585249,0.48,0.36712835903984353,0.9860761311011533,0.6900046032728566,10.935312273228531,50
DYNC1H1,217,2000,0.001620481489226222,0.026123100891709328,0.6022836490404154,0.6022836490404154,0.36822969738518785,0.44,0.40777269210575945,0.9216126134148471,0.6327537848884528,8.975589144926687,50
POLR3B,109,2000,0.0022484916262328625,0.030186358839273453,0.5223862162030063,0.5223862162030063,0.32873513124496384,0.44,0.4149048715635664,1.0063603952243938,0.6815451359177465,10.388609633398652,50
DNAJC8,260,2000,0.007695329841226339,0.04835129901766777,0.2570702353291415,0.2570702353291415,0.22199936305063045,0.2,0.13730776210231135,0.8139940212988458,0.6035954071301342,8.892316190658386,50
QARS,376,2000,0.0015867912443354726,0.02493145503103733,0.8308802331795786,0.8308802331795786,0.6158774811766613,0.68,0.727234703893557,0.7594300727238154,0.587290157760159,9.543073327025752,50
WBP11,205,2000,0.004113759845495224,0.03905225172638893,-0.19916385923503002,-0.19916385923503002,-0.06195380792112609,0.19,0.15601432089600623,0.9026432764089434,0.629645856883646,9.35781170623891,50
MCM10,190,2000,0.0025022991467267275,0.029373222962021828,0.4235648956988646,0.4235648956988646,0.18617297050738696,0.26,0.21970005127432532,0.8222855909486113,0.5950962702082427,8.208424946569512,50
PSMD1,87,2000,0.0019624633714556694,0.02813219279050827,0.8462962865521426,0.8462962865521426,0.621924866826847,0.66,0.7874806296816461,1.1396535940244497,0.7196090064358703,9.963347641249783,50
MED20,78,2000,0.0031185694970190525,0.03554321825504303,0.8428480941759987,0.8428480941759987,0.6463161090526444,0.66,0.7387445408730372,1.3546396651011645,0.8085998409276617,10.664648988663748,50
DERL2,122,2000,0.004356930032372475,0.035969801247119904,0.03327435720088552,0.03327435720088552,0.08646060149249911,0.19,0.14225403173143272,1.092098225373471,0.7116429378632545,10.118115245254984,50
VPS54,306,2000,0.0015084609622135758,0.02445944771170616,0.4240707297361689,0.4240707297361689,0.2872369467741589,0.29,0.22535022943121505,0.7177453200749149,0.5608681350868716,8.104190204082899,50
WDR12,174,2000,0.003358058165758848,0.03379147872328758,0.20648909529368933,0.20648909529368933,0.0626140636900653,0.35,0.28833132602638056,0.831793284276885,0.6005623410428308,8.47518747609191,50
OXA1L,305,2000,0.001520202960819006,0.024336595088243484,0.732726779147116,0.732726779147116,0.4692112735909732,0.59,0.556085977473059,0.7328022832125016,0.5770466753731252,9.07141390556809,50
SART3,142,2000,0.002250854391604662,0.029622741043567657,0.21062774389740993,0.21062774389740993,0.17047621656714007,0.23,0.1370384918640383,0.8911133858044528,0.6323768350851737,9.34685771101248,50
TEX10,153,2000,0.0024069128558039665,0.031166644766926765,0.27085544789610566,0.27085544789610566,0.12589454236680317,0.23,0.182024532430592,0.8614962976529037,0.6305332908474445,9.196300183197916,50
GTF2E1,176,2000,0.0009678350179456174,0.020503588020801544,0.585577136455268,0.585577136455268,0.3671856684082392,0.51,0.47109988731912444,0.8459094773229743,0.6213947484460833,9.448028294472204,50
DDX54,68,2000,0.0009979350725188851,0.021780353039503098,0.6016265951530901,0.6016265951530901,0.3930683893227356,0.48,0.46359583416678607,1.0583178318875406,0.7011532421992438,10.083404165347675,50
E4F1,130,2000,0.005732493009418249,0.04224555194377899,-0.3661226897872613,-0.3661226897872613,-0.17135462188640987,0.3,0.23828764469859465,0.9789798728728644,0.6682672873790433,9.57572523567919,50
RIOK1,290,2000,0.0010542827658355236,0.020964911207556725,0.8048250827359521,0.8048250827359521,0.518222150968886,0.75,0.8226146815302986,0.7275348521902711,0.5692241413833689,8.359970242096308,50
