position_0based	gene
953	ZNF35
954	KIF15
955	EXOSC7
956	TMEM158
957	LIMD1
958	SACM1L
959	LZTFL1
960	CCDC12
961	NBEAL2
962	SETD2
963	KIF9
964	MAP4
965	ZNF589
966	TMA7
967	SHISA5
968	SLC26A6
969	IP6K2
970	PRKAR2A
971	WDR6
972	DALRD3
973	NDUFAF3
974	IMPDH2
975	QARS
976	KLHDC8B
977	TCTA
978	APEH
979	IP6K1
980	INKA1
981	RBM6
982	RBM5
983	GNAI2
984	HYAL3
985	RASSF1
986	HEMK1
987	CISH
988	MANF
989	RAD54L2
990	TEX264
991	RRP9
992	ABHD14B
993	ABHD14A
994	DUSP7
995	ALAS1
996	TWF2
997	SMIM4
998	PBRM1
999	GNL3
1000	STIMATE
1001	TKT
1002	DCP1A
1003	SELENOK
1004	CCDC66
1005	TASOR
1006	APPL1
1007	DENND6A
1008	FLNB
1009	RPP14
1010	PXK
1011	PTPRG
1012	ATXN7
1013	KBTBD8
1014	TMF1
1015	UBA3
1016	ARL6IP5
1017	MITF
1018	FOXP1
1019	RYBP
1020	PPP4R2
1021	CHMP2B
1022	CGGBP1
1023	ZNF654
1024	C3orf38
1025	PROS1
1026	NSUN3
1027	MTRNR2L12
1028	CRYBG3
1029	CLDND1
1030	DCBLD2
1031	SENP7
1032	TRMT10C
1033	ZBTB11
1034	RPL24
1035	CEP97
1036	BBX
1037	CD47
1038	LINC01215
1039	IFT57
1040	NEPRO
1041	SPICE1
1042	USF3
1043	NAA50
1044	B4GALT4
1045	TMEM39A
1046	TIMMDC1
1047	COX17
1048	GSK3B
1049	NDUFB4
1050	POLQ
1051	GOLGB1
1052	FAM162A
1053	PARP14
1054	HACD2
1055	MYLK-AS1
1056	CCDC14
1057	ZNF148
1058	OSBPL11
1059	CHCHD6
1060	PLXNA1
1061	TPRA1
1062	MCM2
1063	SEC61A1
1064	GATA2
1065	GATA2-AS1
1066	ISY1
1067	CNBP
1068	COPG1
1069	H1FX
1070	MBD4
1071	IFT122
1072	PIK3R4
1073	ATP2C1
1074	MRPL3
1075	DNAJC13
1076	CDV3
1077	TOPBP1
1078	RYK
1079	MSL2
1080	STAG1
