condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,chunk
MYCBP,166.0,2000.0,2000.0,0.9977737023613842,0.9814256618564152,0.0170860886737659,0.0042844555711138,0.9954159199260176,0.0016826608807644,0.6843073236542218,0.1396059152102503,0.1868336997000093,1
NAE1,87.0,2000.0,2000.0,0.9946772046922644,0.9670239167559788,0.13398464843159,0.0910655043005256,0.9891350045800208,0.0040644377645951,0.9970690649512092,0.1988472204223288,0.3306166142657612,1
NARS,149.0,2000.0,2000.0,0.9887466813745076,0.956499221124805,0.6908245883344972,0.5186256921564231,0.9772945065051316,0.0080080915414871,0.9167967019791966,0.1771342428304424,0.2914130953467848,1
NBAS,94.0,2000.0,2000.0,0.9932219307137004,0.9617261629315408,0.1466742093728451,0.1564174291630138,0.9861350497230889,0.0050631786669452,0.9758418162920588,0.1827158802079551,0.3036888757816824,1
NDUFA6,151.0,2000.0,2000.0,0.9982351601830062,0.9829787277446816,0.3986051010037926,0.2795125300877669,0.9964002759661524,0.0013218331741792,0.7332623133287502,0.1656029599178868,0.2120841656722391,1
NDUFB4,159.0,2000.0,2000.0,0.9980136569674598,0.98298032074508,0.3424560654892185,0.2628683000656506,0.9959805374965072,0.001471405034359,0.7279295030234029,0.1532259770836008,0.2017527636993672,2
NEDD8,191.0,2000.0,2000.0,0.9921200102291752,0.9617677489419376,0.4071177317438402,0.3441961986781233,0.9839720875024796,0.0059469066744971,0.7090244866067268,0.1126959597974841,0.1761192442783113,2
NELFA,82.0,2000.0,2000.0,0.9917873236718058,0.9529372770916706,0.4494646328455717,0.3423894930973733,0.9834901243448256,0.0059321793531068,1.0742877276484937,0.1994577619825025,0.3591412405951489,2
NIFK,222.0,2000.0,2000.0,0.989336318858253,0.9579823854955962,0.3656453211102548,0.2947794813054126,0.9776439853012562,0.0076059311468017,0.6768642205302129,0.1150641813413402,0.1943313321839174,2
NOB1,45.0,2000.0,2000.0,0.9911793739131644,0.9434742288685576,0.271293496370003,0.1496608889152222,0.9822156950831412,0.0061935252429287,1.3779069106326018,0.2141959075099085,0.4717515254116411,2
NOC3L,73.0,2000.0,2000.0,0.9914608372827226,0.953436532359133,0.1468568857310057,0.0957394064348516,0.9820019993931056,0.0063888206423957,1.0338729644138414,0.195626253616454,0.3502008611769072,2
NSMCE2,109.0,2000.0,2000.0,0.9974713853142312,0.9759335829833958,0.0850007649181478,0.064121741554481,0.994821488391608,0.0018975903376976,0.8731370376724159,0.1708053916825074,0.2609780548912443,2
NSUN4,151.0,2000.0,2000.0,0.9974804907700836,0.9804047556011888,0.1128719667676891,0.0936882894220723,0.9948891554959118,0.0018736813001744,0.7373757162546037,0.140756700144028,0.2011543646687786,2
ORC1,477.0,2000.0,2000.0,0.998506953678115,0.9882153730538435,0.7740100533095868,0.6382980375638712,0.9967824411578476,0.0011343469899585,0.4240778738244645,0.0725197848008988,0.0838972222927375,2
PDRG1,111.0,2000.0,2000.0,0.9901468997874354,0.9544050841012712,0.0044862485699944,0.0473117338279334,0.9800907988101244,0.0071320550011552,0.9501882756286352,0.1855746568665219,0.2946061941530665,2
PEF1,44.0,2000.0,2000.0,0.9949130890325688,0.9531506457876612,0.1716366465444146,0.1033548318387079,0.9897121777758002,0.0037834875944173,1.3156852128788727,0.2149612305480746,0.4435755606716342,2
PET117,80.0,2000.0,2000.0,0.9960698598887758,0.9730890122722528,0.0352828831881347,0.0210022575084402,0.9921166701242328,0.0028456117890319,0.99880827713605,0.1926874998303495,0.3160418730951403,2
PFN1,232.0,2000.0,2000.0,0.995287151595544,0.9831625554093252,0.2407424439715984,0.2458855082479982,0.9905818328261377,0.0034005794320384,0.5771106120987204,0.1115750644142011,0.1347667481189353,2
PHB2,327.0,2000.0,2000.0,0.9585665533254168,0.8749918557479641,0.4953701856564709,0.3878157700993734,0.9163123816251756,0.0288679560722763,0.8711202280260447,0.1537768611510201,0.3581490284633689,2
PMPCB,471.0,2000.0,2000.0,0.9931437825440794,0.977089016772254,0.8202569996009417,0.6824248736062184,0.98586112447083,0.0050678535387541,0.5210491713938459,0.091064191640647,0.1324173831624975,2
PNPT1,112.0,2000.0,2000.0,0.9862237283121824,0.9618068824517204,0.1184068415989246,0.1419228564807141,0.9722783602774144,0.0102493295272261,0.9639322896938052,0.189786292312191,0.3256927859615646,2
POLD1,197.0,2000.0,2000.0,0.9944351608698626,0.9706551056637766,0.6272441461316531,0.4990306461319345,0.9888361608609556,0.0039672402258134,0.5674676336230816,0.0955526229686693,0.135602379225019,2
