condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
ZCRB1,141,2000,0.993932109169389,0.9560794164101226,0.28659374564345225,0.17993069519722776
GNL3L,66,2000,0.9949066771489787,0.9508509116340363,0.6217482921894817,0.39904748576336224
CDC23,158,2000,0.9937945267234155,0.9545777973831118,0.45114755527848005,0.3121921677976572
DBR1,96,2000,0.985085486131697,0.9213930015201739,-0.14598780678247547,-0.11859326932542322
NSA2,71,2000,0.9921525711838315,0.9456398570162896,0.21979712069907836,0.12564336176173443
CTR9,197,2000,0.98524567113359,0.9272734841594487,0.6473887940157327,0.5184959044838362
DLD,283,2000,0.9805430129144763,0.9016105444700605,0.12601127920013452,-0.015095146492168143
RBM28,55,2000,0.9875423741883383,0.9389619614282241,0.24963321994327645,0.21376334324366408
PSMB1,106,2000,0.9935568499997148,0.9645017633872186,0.6942269794721189,0.47121987484410427
FTSJ3,153,2000,0.977094725252172,0.9273463055863648,0.22194405412637255,0.16559079907560614
WDR82,86,2000,0.9771498994084755,0.8999684691563379,0.2954345508938431,0.17472342310513028
POLR3C,169,2000,0.9907118172036501,0.9538435360737413,0.12731493149116618,0.09948939979235147
DHX37,202,2000,0.9899192765830825,0.9634365048165827,0.13932566138430466,0.2122213819179486
SAP18,40,2000,0.9825837202929935,0.9159871828447129,0.13512692907039564,0.06410956831453725
GNL3,29,2000,0.9898276110220602,0.9254645195522385,0.49076871426909985,0.3482474190422547
NDC80,171,2000,0.9944298279038588,0.9561000758509494,0.5047136014895584,0.32883764852929015
TTC27,87,2000,0.9917843261162785,0.9491186762367468,0.3771949005130247,0.29525382908123926
CDC123,96,2000,0.9894483040090101,0.9402690504464615,0.2154556478266407,0.13510877100759347
WDR3,329,2000,0.9900575046828392,0.9607764022621148,0.454523329548851,0.21835763157650823
WDR43,47,2000,0.9896256298796341,0.9448124223392518,0.7981655696798299,0.5432997396010287
