model,context,condition,n_true_cells,n_pred_cells,n_tfs,tf_activity_mean_pcc,tf_activity_mean_spearman,tf_activity_delta_pcc,tf_activity_delta_spearman,tf_activity_topk_overlap,tf_activity_auprc
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CNOT2,64,2000,86,0.9915561761683171,0.9883579414123308,0.645912501355172,0.6612104344544553,0.36,0.40857935446899873
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CNOT3,303,2000,86,0.9925934725187417,0.9935279966036134,0.6610916884546896,0.6632671352422285,0.56,0.49973811651131056
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COG2,332,2000,86,0.9991305153671529,0.9983395443181282,0.16345266490240382,0.07827727723005802,0.32,0.38869562702361243
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COG3,55,2000,86,0.9961013644460531,0.9957167790933535,0.53683075341971,0.4253125147412614,0.56,0.5499931028005183
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPB1,56,2000,86,0.989310381408667,0.986622010472192,0.7113826372380072,0.6722109533468559,0.6,0.6146131519279401
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPB2,60,2000,86,0.9825859433752477,0.9838860323600169,0.5723152431371953,0.5881126468229633,0.52,0.5107553971050645
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPS2,44,2000,86,0.9915965306688512,0.991565639888674,0.49959417482129265,0.4937308363602056,0.52,0.5554105041867596
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPS3,59,2000,86,0.9905044958510419,0.9906599367894712,0.5095429185543373,0.432124156799849,0.52,0.5928031467060965
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPS4,253,2000,86,0.9942450448764817,0.9941317986697487,0.5917159249531416,0.5864521911410915,0.56,0.5791643856515413
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPS5,72,2000,86,0.9903378642108622,0.9902636916835699,0.0680567447405222,0.08614557290438227,0.36,0.4219267887258268
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPS6,222,2000,86,0.9871204605903175,0.9884145478560308,0.32731620097569075,0.30987310722203876,0.44,0.5102663797809505
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPS8,198,2000,86,0.9968955096201902,0.995811123166187,0.3142715275253176,0.2874946931459031,0.4,0.3642575560617992
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COPZ1,92,2000,86,0.9926372278783928,0.9925656870607104,0.7960451777700531,0.739138638615029,0.64,0.724375538830351
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COX11,103,2000,86,0.9970754644438882,0.9966979574508231,0.6335364212398518,0.5747723949242889,0.48,0.5029477530005093
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COX15,103,2000,86,0.9979265549047579,0.9965281381197226,0.7735971002580252,0.7447992829850464,0.6,0.6827544662151785
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,COX17,129,2000,86,0.9989761939301519,0.9988490023114297,0.6574743362090918,0.5995094108212652,0.4,0.47165157838863914
