condition,n_true_cells,n_pred_cells,mean_pearson,mean_spearman,delta_pearson,delta_spearman
SAP18,40,2000,0.9795467257499695,0.911096199310724,0.35531264543533325,0.1476681549627262
SART3,142,2000,0.992431640625,0.9636419421616775,0.2269338071346283,0.2719904378301453
SCAF1,158,2000,0.9892500042915344,0.9588380513525342,-0.030150527134537697,0.030119527446226844
SCFD1,103,2000,0.9942784309387207,0.9606034949041397,0.4303722083568573,0.28362536612901457
SDC1,170,2000,0.9889248013496399,0.9565543984861758,0.3587203323841095,0.2047069307802772
SEC13,43,2000,0.9846625328063965,0.928922969029514,0.15215635299682617,0.1489911882423749
SF3A2,236,2000,0.9883847236633301,0.95444450320178,0.37082305550575256,0.35904950923706636
SF3B2,197,2000,0.9725766181945801,0.9027678603027144,0.5239821672439575,0.4252198504212047
SF3B3,215,2000,0.9743602275848389,0.9112843823713751,0.13449198007583618,0.1226905106996204
SFPQ,185,2000,0.951207160949707,0.891004552152182,0.0219582486897707,0.07180143618405743
SFSWAP,145,2000,0.992676854133606,0.9626604962984198,0.16250354051589966,0.13254872993231157
SIN3A,217,2000,0.9910573363304138,0.9601168208686727,0.2999105155467987,0.19865783345508112
SLU7,195,2000,0.968354344367981,0.8994001440671769,0.35004791617393494,0.30206884741075385
SMC4,169,2000,0.9934852123260498,0.967704103771389,0.271101713180542,0.18699671097235637
SMG5,82,2000,0.9760630130767822,0.9406833888913355,-0.011159641668200493,0.016298223052320083
SNAPC3,201,2000,0.9951954483985901,0.9730485999040035,0.29914334416389465,0.20792235794786473
SNRNP200,92,2000,0.9763209223747253,0.9100660749306428,0.19594638049602509,0.18789864699696504
SNRNP27,42,2000,0.9887449741363525,0.9345938660122554,0.19936451315879822,0.13041979915557245
SNRNP48,179,2000,0.9929037690162659,0.9606254288160722,0.2931949198246002,0.2246882923369242
