gene_rank,mean_delta_vs_control,q10_vs_control,q90_vs_control,min_vs_control,max_vs_control,abs_mean_delta
133,-0.06467593217454776,-0.3784590043240323,0.22053562476787728,-1.4058249514517067,1.142044049339095,0.06467593217454776
134,0.06452680239829653,-0.25362001987918426,0.3379996638042759,-0.8565293780664649,0.9688356799057284,0.06452680239829653
135,-0.06408405704056996,-0.3950665705182836,0.1831505811656879,-1.203424092588112,0.8093127750462784,0.06408405704056996
136,0.06295208343039622,-0.15057425991143755,0.27572951703077453,-0.7139573720621796,0.7470051698333323,0.06295208343039622
137,0.06272063719034532,-0.2673903838071923,0.33539513452993147,-2.3498314560857523,1.039901461813853,0.06272063719034532
138,0.0620054782364093,-0.27987887223306934,0.40045962442286076,-0.8090754716311042,1.0607026877655275,0.0620054782364093
139,-0.06165873101847057,-0.34165031996949863,0.21134258285289764,-1.0053938157958842,1.1015573236767338,0.06165873101847057
140,-0.060290315761888945,-0.3098789263430546,0.17575846243632676,-0.8511007339986575,0.7785301495829278,0.060290315761888945
141,-0.06008254104760788,-0.36405536183496606,0.25500212713816,-1.1194647806236329,1.4211982382359574,0.06008254104760788
142,-0.05802950539570348,-0.261825653036425,0.1937577193398003,-1.3404714854612396,0.7761237649994515,0.05802950539570348
143,-0.05791819318239369,-0.3923643660570562,0.18106006214865145,-1.373240734930158,1.5316795747995813,0.05791819318239369
144,-0.05778602741460834,-0.4288003623109662,0.23247272288132456,-0.8674335870453329,1.7214615573540872,0.05778602741460834
145,-0.05775147697515421,-0.3625346325442755,0.2515970844865628,-1.0649537823976325,0.8893670602675084,0.05775147697515421
146,-0.057160898512077,-0.38489351086952767,0.1873925005060146,-1.0304371111371182,0.6131354110875008,0.057160898512077
147,-0.05661561962695917,-0.3293164685160198,0.2333185241787302,-1.1028379799265458,0.7663193900109097,0.05661561962695917
148,0.05622916732750179,-0.23351263716382475,0.2999135181154482,-1.2741784407928483,0.925766105126974,0.05622916732750179
149,0.05519932215221284,-0.21402193473947728,0.3203399117438486,-1.8652192967691519,1.720188647730686,0.05519932215221284
150,0.05489699032756764,-0.31512738062258383,0.4058806662847842,-1.848414418356173,1.710483658817965,0.05489699032756764
151,-0.05459491220178812,-0.34620176027013966,0.23937087298245963,-0.7450038264381967,0.7618206889365428,0.05459491220178812
152,-0.05323621486019029,-0.3367070009833844,0.19248624104170534,-0.6402215354321622,0.5738693684780629,0.05323621486019029
153,-0.053160621607387284,-0.35913598740214864,0.21952336272901304,-0.8951758387152087,2.0735530176162684,0.053160621607387284
154,0.05238117558648214,-0.24603639757858123,0.2737589650839779,-1.2130946464636299,1.6455403805439033,0.05238117558648214
155,0.05094234347731362,-0.18428681371225064,0.34024968181194526,-0.5298448769257301,0.6390089263041012,0.05094234347731362
156,-0.05059209170234698,-0.32946828201430434,0.20280285828245637,-1.0331356189970942,0.7033623698320356,0.05059209170234698
157,0.0505570941925381,-0.2157732953983796,0.2965442630270882,-0.6751092380845256,0.6867912133235905,0.0505570941925381
158,-0.05054214196278792,-0.3078218007244112,0.25726983326854125,-1.4337379580687182,0.6406259674862076,0.05054214196278792
159,-0.04936290633766571,-0.4419899749769377,0.28360168061731794,-0.884173855782077,1.292981261154419,0.04936290633766571
160,-0.049198303965119254,-0.3177061245056682,0.21440312724672114,-0.724580857488288,1.5161713463861923,0.049198303965119254
161,0.048649212765288684,-0.24080718874647838,0.3263934521258737,-0.9890285145594776,0.5159151535169394,0.048649212765288684
162,-0.04587977769418925,-0.31544950192939014,0.19824544248695708,-1.1019655514270195,0.7053804571766208,0.04587977769418925
163,0.045763023103107106,-0.2796547798310335,0.3536683801861899,-1.4528066942214837,1.5978124595739518,0.045763023103107106
164,0.04437362815509827,-0.2197099928667915,0.2963361369413974,-0.6135771709933102,1.0117199684028646,0.04437362815509827
165,0.04404612063035129,-0.2230036465728303,0.3013820288292044,-0.49134802818239914,0.888034844963362,0.04404612063035129
166,0.04356710143020086,-0.22733929883158188,0.29428779146508427,-0.6447456021456797,0.8664391033284619,0.04356710143020086
167,-0.04217107997509431,-0.36803870171717745,0.18478570496203583,-1.4905241220877405,2.1262062177728027,0.04217107997509431
168,-0.04208373480814556,-0.2372215983915893,0.17902275183767696,-1.3031296380090442,0.5305607613301405,0.04208373480814556
169,-0.040858329108660545,-0.41859993753959285,0.2683749916505159,-0.9413470502482127,1.7084702345752636,0.040858329108660545
170,-0.04052205961751796,-0.3350717957306366,0.2564509499279337,-1.1489250897573975,0.6538328580364199,0.04052205961751796
171,-0.040107775633583,-0.3597257105885888,0.29557826724954006,-1.766328727771291,0.9403411298771153,0.040107775633583
172,-0.03912090959334623,-0.3378401146082762,0.30156050796801565,-1.1511524479679591,0.6255239245963393,0.03912090959334623
173,-0.03881764841747675,-0.26024748798903596,0.223695726348284,-1.8000067917467417,0.46353600645231785,0.03881764841747675
174,-0.038758895191296334,-0.28961632118193986,0.1970523571216021,-1.4278950884967896,0.44827011943038325,0.038758895191296334
175,-0.03783555958545463,-0.3871854035933198,0.19532028759106204,-1.0493752637488063,3.0550975651579355,0.03783555958545463
176,-0.03776715690092469,-0.35595663366144753,0.2502287257108478,-0.5980490044291205,0.9300826770660509,0.03776715690092469
177,-0.03772206484258887,-0.3877477233533533,0.2816382914473149,-1.060203666578325,0.4982909952947824,0.03772206484258887
178,0.037392632535974996,-0.21572864111853773,0.28604309955404555,-0.9917603421219683,0.7085104808476322,0.037392632535974996
179,-0.037295920232273745,-0.3001995826175704,0.2627302413797719,-0.9716686491676602,1.074795889221271,0.037295920232273745
180,-0.03691733746734811,-0.2916061199852208,0.17363421947260613,-0.9990588179616151,0.6868711209768077,0.03691733746734811
181,0.03685674235283308,-0.29792033626780573,0.3801475344920619,-1.803240286503259,0.7733098569507082,0.03685674235283308
182,0.036807427992763285,-0.23506292333379836,0.2954367673226863,-0.7657702603404543,0.7817127947702487,0.036807427992763285
183,-0.03660034356810825,-0.26291019675075245,0.1770632578455603,-0.5002141255397395,0.3721711284154815,0.03660034356810825
184,-0.036010621054051194,-0.30401034923221193,0.30176751547693037,-0.9261432752680113,1.0752923595489232,0.036010621054051194
185,-0.0359400926703853,-0.29794696714877217,0.25942190211734,-2.2226223703498325,1.4447547185698153,0.0359400926703853
186,0.03577293084624075,-0.23186693295911798,0.2685764076578316,-0.5371855305814924,1.2525175711340564,0.03577293084624075
187,0.03573677470567923,-0.2147738009605957,0.32771355303513766,-0.7881601789025627,1.073081606899508,0.03573677470567923
188,-0.035736463773339604,-0.3049109783376204,0.24655191923807698,-1.9314537889574068,0.5519451024882189,0.035736463773339604
189,-0.035623206002307506,-0.3343019531199222,0.2687347550230465,-0.8115000997984009,0.9739047137820179,0.035623206002307506
190,-0.03434262685636155,-0.348607555553947,0.2721180414495961,-1.0343148448737047,0.6596083849349883,0.03434262685636155
191,-0.034250572620732396,-0.34473308422777516,0.2741652974561015,-0.691539183083405,0.7375760410757212,0.034250572620732396
192,0.03420474496525227,-0.20389948939788283,0.29402811209016605,-0.8292117041883225,0.7353374389741796,0.03420474496525227
193,-0.03370083278465235,-0.3142484837696459,0.2115705784630109,-0.6201972540750442,0.63023419905769,0.03370083278465235
194,-0.03207094090520037,-0.3310061908371831,0.2863146982017772,-0.9206027235006923,0.6149264381472248,0.03207094090520037
195,-0.03203818005772763,-0.31337241794622356,0.2434892813153347,-2.238276140135459,0.7014539124605196,0.03203818005772763
196,-0.03197502983611499,-0.28929941768151346,0.2048643419942301,-0.7859743641087523,0.5864111611551673,0.03197502983611499
197,-0.03113126572697762,-0.26008029469784816,0.17288739341865647,-0.5855155535715072,0.7068573248772567,0.03113126572697762
198,0.030921595565360675,-0.20429559473724837,0.3160168385950222,-1.261609479381033,1.2157159999799703,0.030921595565360675
199,-0.030698787133936065,-0.3187755753971042,0.27154494063219153,-1.7542054725841747,1.074294629550629,0.030698787133936065
200,-0.030103309379178437,-0.35850528060679326,0.19913728393994318,-0.8194959798804253,0.8383840579429469,0.030103309379178437
201,0.029771054044005974,-0.24150249792354056,0.2736214739251875,-0.6468962551686396,1.248148459610354,0.029771054044005974
202,0.02957437985408827,-0.27387038357742577,0.25003986688529795,-0.634394054972348,1.625666067028458,0.02957437985408827
203,-0.02955519592009697,-0.23476180054020707,0.18135431551967346,-0.9965622526944968,0.7331577850083051,0.02955519592009697
204,-0.028805198191511398,-0.3453111947799287,0.22286176695640506,-0.7118542287100671,2.5868100364258786,0.028805198191511398
205,0.02783882201438596,-0.27158826266005104,0.34927145225696415,-1.1696311266061916,0.775166271015756,0.02783882201438596
