condition,n_true_cells,n_pred_cells,top100_de_overlap
SSBP1,115,2000,0.19
SSU72,55,2000,0.25
STARD7,98,2000,0.18
STRAP,91,2000,0.19
SUGP1,146,2000,0.29
SUPT16H,82,2000,0.42
SUPT5H,367,2000,0.49
SUPV3L1,74,2000,0.26
SURF6,113,2000,0.41
TADA3,139,2000,0.41
TAF10,38,2000,0.54
TAF1C,128,2000,0.37
TAF6,111,2000,0.5
TAF7,84,2000,0.4
TBCB,97,2000,0.22
TBL3,70,2000,0.6
TCERG1,93,2000,0.2
TCOF1,86,2000,0.17
TELO2,73,2000,0.31
TERF2,47,2000,0.38
THAP11,60,2000,0.14
THOC6,115,2000,0.17
THOC7,104,2000,0.27
TIMM13,162,2000,0.41
TIMM23B,480,2000,0.43
TIMM44,38,2000,0.41
TIMM9,183,2000,0.23
TMX2,94,2000,0.33
TOMM22,89,2000,0.3
TOP1,91,2000,0.46
TPR,68,2000,0.34
TPX2,212,2000,0.5
TRA2B,139,2000,0.26
TREX2,275,2000,0.28
TRMT10C,67,2000,0.18
TRMT112,150,2000,0.7
TRMT5,93,2000,0.38
TSEN2,168,2000,0.3
TSG101,83,2000,0.38
TSR1,109,2000,0.62
TTI1,146,2000,0.34
TTK,185,2000,0.45
TUBGCP2,226,2000,0.3
TXNL4A,66,2000,0.2
U2AF1,141,2000,0.42
U2SURP,263,2000,0.32
UBA1,251,2000,0.17
UBA3,94,2000,0.14
UBA52,44,2000,0.22
UBAP1,102,2000,0.39
UBL5,198,2000,0.5
UBQLN4,145,2000,0.36
UFM1,119,2000,0.22
UPF1,115,2000,0.29
UPF2,133,2000,0.33
UQCC2,83,2000,0.17
UQCRB,93,2000,0.22
UQCRFS1,114,2000,0.32
UQCRQ,148,2000,0.32
USP36,151,2000,0.5
USP39,166,2000,0.36
USPL1,96,2000,0.2
UTP20,92,2000,0.63
UTP23,160,2000,0.6
UXT,206,2000,0.34
VPS54,306,2000,0.21
WAC,93,2000,0.21
WBP11,205,2000,0.49
WDHD1,175,2000,0.15
WDR12,174,2000,0.39
WDR24,78,2000,0.3
WDR33,79,2000,0.26
WDR61,98,2000,0.23
WDR82,86,2000,0.34
WDTC1,107,2000,0.18
XRCC5,77,2000,0.47
XRN2,57,2000,0.24
YEATS2,233,2000,0.45
YTHDC1,157,2000,0.45
ZBTB17,158,2000,0.15
ZC3H18,23,2000,0.24
ZCRB1,141,2000,0.19
ZFC3H1,105,2000,0.22
ZMAT2,348,2000,0.4
ZMAT5,98,2000,0.2
ZNF236,85,2000,0.55
ZNF574,266,2000,0.2
ZNHIT6,116,2000,0.62
