condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,part
GPKOW+ctrl,105.0,2000.0,5000.0,0.99584107245692,0.9663153992518076,0.4846298661502961,0.3914569096986462,0.9910239214077592,0.0011698163230251,1.0609114284188903,0.5042430815354151,0.5127146326390123,2
GRPEL1+ctrl,96.0,2000.0,5000.0,0.9980636861621376,0.976604686264187,0.9199678609222892,0.7355940437934161,0.9961230256594718,0.0004935371472621,1.132016582358144,0.5120177999394434,0.537025006977821,2
GTF2E1+ctrl,176.0,2000.0,5000.0,0.9985363979740712,0.9835639675025584,0.7849753314269,0.597387992021857,0.9970609087031336,0.0003645398705374,0.8624941936882722,0.5252241180865382,0.4025572724444369,2
GTF2E2+ctrl,69.0,2000.0,5000.0,0.996844400820356,0.9658457779618308,0.7212942289339278,0.5320699431098765,0.993695519398898,0.0007824812665532,1.2021159112406825,0.506545217363341,0.5552804523958886,2
HAUS5+ctrl,153.0,2000.0,5000.0,0.9984898472587708,0.9820379468090868,0.6129489408151251,0.4074812979445906,0.9969782745465636,0.0003825507922604,0.899087788536843,0.4866148222024053,0.3949069258381989,2
HEATR1+ctrl,216.0,2000.0,5000.0,0.992627832197888,0.9749281462525244,0.8197494440899146,0.695309482181754,0.9848222518339752,0.0017438567611194,0.8996816989187145,0.5173555387120706,0.4352700990441529,2
HGS+ctrl,96.0,2000.0,5000.0,0.9935526191146582,0.9624801301703048,0.6390336089996714,0.5247346276705724,0.986901299096644,0.0016976361435814,1.1190236540167469,0.5158013389062838,0.535145279810079,2
HIRA+ctrl,228.0,2000.0,5000.0,0.99786259733283,0.9843068023078956,0.1608442486176796,0.1202023287018628,0.9953171745873988,0.0006090813363904,0.7446212978246664,0.5111007825457345,0.3562925276418946,2
HNRNPH1+ctrl,92.0,2000.0,5000.0,0.9933009115019316,0.9594115572474884,0.2695606656543334,0.218715677580627,0.9865185264497996,0.0016846968487658,1.1155322637910106,0.5051878850390645,0.5311185584774776,2
HNRNPM+ctrl,128.0,2000.0,5000.0,0.9961267429402578,0.9728847011147372,0.4124831211619573,0.3099327632773105,0.9921916252933444,0.0010033065537619,0.9312597765774978,0.5137331492694468,0.4564042095672843,2
HNRNPU+ctrl,73.0,2000.0,5000.0,0.9930429216503656,0.9554108917273654,0.2497891823997892,0.2370757802784108,0.9859940847381948,0.0018207559648354,1.1042659524187226,0.5118171905643415,0.525034274937114,2
HSCB+ctrl,85.0,2000.0,5000.0,0.9980017151671072,0.9740097364397654,0.5735702386336375,0.3742515453209361,0.9958838629536332,0.0005379548879013,1.082208494571561,0.5252373491264815,0.5408003696782933,2
HSD17B12+ctrl,135.0,2000.0,5000.0,0.9965922621802908,0.9734121631284864,0.6868187479610455,0.5193680309436509,0.9931876645423472,0.0008762692142676,0.97756879895788,0.5160035209886893,0.4748352028034878,2
HSPA8+ctrl,146.0,2000.0,5000.0,0.9848535436909176,0.9548815188581778,0.4884966943735873,0.4439895054662032,0.9691915288567544,0.0040131512598462,1.03077530169205,0.5069840437477472,0.524733848051465,2
HSPE1+ctrl,25.0,2000.0,5000.0,0.989103555025662,0.9266909181743088,0.7063232843874533,0.5097068160485055,0.978193547576666,0.0028840889056053,1.8741664421516084,0.4943453164878158,0.9268325474765482,2
IGBP1+ctrl,245.0,2000.0,5000.0,0.9953127494474818,0.97531830404414,0.6221623006755852,0.4564444991655986,0.9898237306624652,0.0012389506247354,0.8502834155193625,0.519707449582688,0.3850876950720457,2
ISCU+ctrl,32.0,2000.0,5000.0,0.9903777044410496,0.92436827436112,0.5758297596034022,0.3838238647018017,0.9804152436554432,0.0024333693937855,1.5942049917668526,0.4601343922216696,0.6965896390212326,2
KRI1+ctrl,51.0,2000.0,5000.0,0.9941839755819843,0.9600164902489828,0.7249523783812528,0.4551832401011785,0.9880576198920608,0.0014297649467389,1.1933811562516785,0.4957968989056722,0.559695151269759,2
LSM4+ctrl,68.0,2000.0,5000.0,0.9938612212775786,0.9602045419512266,0.841917167005944,0.7127936137917444,0.9875345723703504,0.0016528408980921,1.1677553237085845,0.5184953648375116,0.5828823782936593,2
MAGOH+ctrl,149.0,2000.0,5000.0,0.9931545955014116,0.9724914930436596,0.4878395255283154,0.4088308763470469,0.9860443221405149,0.0017643404261049,0.9363242812910672,0.5054102245910563,0.4606471972626923,2
MCM10+ctrl,190.0,2000.0,5000.0,0.9953821992645764,0.9814598553543944,0.7676721626352178,0.6572466484816398,0.9907506490126252,0.0011589777793973,0.8371693178735816,0.5057311961649479,0.4008688990335132,2
MCM3AP+ctrl,100.0,2000.0,5000.0,0.99596344384671,0.9703543107414608,0.5925228184099198,0.3685837415378876,0.991714196279645,0.0010391747744032,1.0298891537693888,0.5185851666966783,0.497529748498337,2
MDN1+ctrl,68.0,2000.0,5000.0,0.996533288040018,0.9651769440150776,0.6048258902770173,0.3970392405916853,0.9929850953631104,0.0009040181856657,1.1206006751372513,0.4880847452008353,0.5224563704080459,2
MED20+ctrl,78.0,2000.0,5000.0,0.9961116024896912,0.966148224292304,0.8869984126718913,0.7051556342222253,0.9921437697485088,0.0009084939417149,1.3816143168737214,0.5204701995238357,0.6645542254440122,2
MED26+ctrl,99.0,2000.0,5000.0,0.9945633634002304,0.9650851717554064,0.4865252378330063,0.2647224691743121,0.9882655832916498,0.0014840774086002,1.07187931347086,0.5205162092646145,0.5273677854559542,2
MED31+ctrl,35.0,2000.0,5000.0,0.9884511644078666,0.924859742619031,0.4931691852484278,0.3078974794838992,0.9758240412920712,0.0029949297152961,1.5663708549830009,0.4992748365914115,0.7657154884386621,2
MED8+ctrl,94.0,2000.0,5000.0,0.9958345922373348,0.9665674355266972,0.8510081213147107,0.6697791559113158,0.9916512854397296,0.0009716647113467,1.2255467227450083,0.5019139432142606,0.5672343052681686,2
MFAP1+ctrl,164.0,2000.0,5000.0,0.9931897787615132,0.9609438434528164,0.8336836967284681,0.7428663376099687,0.9860096275806428,0.0017130271064232,1.0259864529631018,0.510320708713532,0.4593243506160113,2
MRPL18+ctrl,128.0,2000.0,5000.0,0.9987277491614168,0.9803836463513456,0.8516888139032777,0.5918212459856645,0.9974128811154516,0.0003409866600654,0.9155624462474627,0.4983194058609666,0.4166841380168684,2
MRPL3+ctrl,146.0,2000.0,5000.0,0.9986188630107332,0.9820057958562318,0.7943995670852493,0.5401855987663173,0.9972388467285782,0.0003631619026034,0.8771903180766892,0.5110578950888497,0.4164305379931647,2
MRPL32+ctrl,62.0,2000.0,5000.0,0.9979499315136622,0.968336779437471,0.7247340997782606,0.4378717137653775,0.9957966059446336,0.0005637933947697,1.1435620056306426,0.5056424170812905,0.5540985688458119,2
MRPL38+ctrl,132.0,2000.0,5000.0,0.998524531912086,0.9811809601027868,0.7257799586048189,0.4578100404573639,0.997038448927924,0.0003840461708571,0.9168339974264592,0.5105289502001075,0.4267460939338303,3
MRPL4+ctrl,109.0,2000.0,5000.0,0.9983958012522376,0.9800008193835524,0.6370118240527733,0.4168665523406861,0.9967562940437348,0.0004249759951093,0.9738429713921996,0.5109637067906301,0.462404770630718,3
MRPL49+ctrl,36.0,2000.0,5000.0,0.989067238700606,0.9436749267419215,0.1500007443853585,0.1090376617401233,0.9756046868860722,0.0029325991307892,1.5688346850604529,0.5177970690410792,0.7826761708421349,3
MRPL50+ctrl,147.0,2000.0,5000.0,0.9988233747775476,0.9834640040425598,0.7443232026186163,0.4923938319628405,0.9974712294060736,0.0003353057399011,0.8672104871007792,0.5200927661194964,0.4107664301210206,3
MRPL54+ctrl,112.0,2000.0,5000.0,0.9984429981384314,0.976159635549813,0.627934670004698,0.4017150829902445,0.9968208849895746,0.0004141788950369,0.9782857189719404,0.4953687827835212,0.4498956911214447,3
MRPS11+ctrl,90.0,2000.0,5000.0,0.9979259152687362,0.973068375786735,0.7491129020172942,0.4978358447213298,0.9958028513938189,0.0005562133346771,1.0285250410742726,0.5127455303537571,0.4867870847427361,3
MRPS14+ctrl,82.0,2000.0,5000.0,0.9925992023378692,0.9667426598929082,0.6082726251413144,0.4519390946061034,0.9850497702136636,0.002004370912551,1.1570580754539588,0.5010176002998223,0.5591962775005621,3
MRPS18A+ctrl,108.0,2000.0,5000.0,0.9976353082091972,0.9781746366779378,0.6147028516822821,0.4575710706827697,0.9950798028148712,0.0006505525290689,0.9583088778547656,0.5207435491205571,0.4675464365128289,3
MRPS24+ctrl,132.0,2000.0,5000.0,0.998230284463183,0.9810634504820832,0.4494698509893362,0.2727159485537283,0.9963826527819036,0.0004782919904601,0.9102256133296466,0.5102585966115548,0.4225396250511573,3
MRPS26+ctrl,111.0,2000.0,5000.0,0.9983548007986496,0.9802499555939984,0.6068783355042316,0.3766472498130085,0.9966547708027064,0.0004401969654553,0.9671783644481567,0.5092939096659392,0.4560748036041087,3
MRPS27+ctrl,76.0,2000.0,5000.0,0.9961656748547842,0.9693133854357986,0.5772212874497067,0.4385929471858229,0.9922055527567863,0.0010155513100071,1.1210584008810336,0.4999661114438918,0.5076725358211516,3
MTPAP+ctrl,86.0,2000.0,5000.0,0.9763570760027556,0.970809549406981,0.4002105924675538,0.3745861402514059,0.9527044296264648,0.0061242771129065,1.238668683706548,0.5163676182406158,0.7227407557569384,3
MZT1+ctrl,381.0,2000.0,5000.0,0.99782721278586,0.9884439549209264,0.3156012137136804,0.2178121437521682,0.9954497651197016,0.0005822415631338,0.6477784164140422,0.5079118076212465,0.2920678201630304,3
NAA15+ctrl,107.0,2000.0,5000.0,0.996808734032014,0.9738829939953196,0.4113919910106786,0.2959347933698014,0.9935695263557136,0.0007967416391196,1.0409148335992129,0.517608621225003,0.4943734214835672,3
NARS+ctrl,149.0,2000.0,5000.0,0.9923035052137112,0.9678280310140328,0.8889252718368208,0.7287079122712946,0.9845619415864348,0.0019476901361364,0.9902209326424296,0.5053436426298681,0.48409736260281,3
NBAS+ctrl,94.0,2000.0,5000.0,0.9978336460751808,0.9740918838584316,0.627779532977195,0.4377149824791044,0.9955496531911194,0.0005763202090241,1.093253118022808,0.5228704277859106,0.5380342688352616,3
NCAPH+ctrl,64.0,2000.0,5000.0,0.9956819420197772,0.9601649216705966,0.5359505821669938,0.3690607867250039,0.9913004618138076,0.0010994772658699,1.147918451948287,0.4594338002437677,0.5006347363201725,3
