condition,n_pred_cells,n_true_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
DENR,2000,228,0.997923585830583,0.9851025111326787,0.14237499827975159,0.13716393283133613
DHX16,2000,305,0.9906063405857907,0.9418844129354493,0.6874228133631095,0.6301615724084934
DHX33,2000,127,0.9965903780020642,0.9811349645123717,0.2410599528519438,0.10204759813974414
DHX36,2000,248,0.9953899142973838,0.9808852409317746,0.14425329167572823,0.10910602308725031
DHX37,2000,202,0.9951130937566056,0.9785789505188076,0.580487154923291,0.20180887870607203
DIS3,2000,40,0.9878713567846285,0.926056717867586,0.5352817479236248,0.24388942928459462
DKC1,2000,51,0.9931463793917515,0.9568215082307395,0.4250288571052662,0.1259899638797604
DLD,2000,283,0.9878843527744049,0.9482870586299331,0.3704666719846366,0.2643210594825235
DMAP1,2000,71,0.9850439744036309,0.9356060442093422,0.25119838534371913,0.18915995445682796
DNAJC17,2000,30,0.9873956784272032,0.9139110264698153,0.6475560777119689,0.5444480151806377
DNAJC8,2000,260,0.9987058008430957,0.9881076731415132,0.1312726098772068,0.10127848323395268
DNM1L,2000,144,0.9975210967738684,0.9812303479960495,0.28121792357192676,0.17727034667776437
DNMT1,2000,146,0.9968407685190301,0.9779135627260421,-0.058661982773247495,-0.034963214898655774
DNTTIP2,2000,235,0.9904175227628634,0.9620699454168351,0.7030207541696183,0.41566291890114815
DR1,2000,103,0.997362184132422,0.9769191828911566,0.07052001293384348,0.07923667435649559
DSN1,2000,234,0.995607050980846,0.9764603234227787,0.5253185809356982,0.37653320163345444
DTL,2000,87,0.9940999854062533,0.9691307813409051,0.35071504106874524,0.21703823545461265
DUT,2000,46,0.9915193514176163,0.9435482289135985,0.31065235410197944,0.15718636515373763
DYNC1H1,2000,217,0.997259753959899,0.9816921607275133,0.4232438384653623,0.30052094318226485
DYNC1I2,2000,239,0.9966919637691964,0.9807065740908847,0.4604731783039662,0.30536096796051493
EBNA1BP2,2000,68,0.9928019894471389,0.9572127407976544,0.48292994347180945,0.3095602337391023
ECD,2000,69,0.9950510007924759,0.9616960496929295,0.48661789020902946,0.3773652542747505
EEF2,2000,196,0.9894558889257764,0.9671915296904812,0.30819455315897637,0.1212189101728433
EIF1AX,2000,95,0.9929545692338811,0.961498593038256,0.5184563428498725,0.3495885095779324
EIF2B1,2000,162,0.9939764146509945,0.9623017298916473,0.5611884445515103,0.3915075467112658
EIF2B5,2000,412,0.9879468675458428,0.9332555953602855,0.6674006148620315,0.4955874782942571
EIF2S1,2000,208,0.9769710178962409,0.9027381578405392,0.7007587954192032,0.5441387531917409
EIF2S2,2000,76,0.9868085961368763,0.9301800396541953,0.4928822769415893,0.32749127532197114
EIF2S3,2000,46,0.9727979930710878,0.880353230363747,0.6431833742667427,0.4482233173417796
EIF3B,2000,23,0.9750067142536647,0.8680588078465664,0.5508445760250753,0.3675972434228975
EIF3CL,2000,44,0.9842146876441129,0.9086986086744279,0.4367721305298395,0.22193919354738634
EIF3D,2000,144,0.9812116288078122,0.9201388553123859,0.570983183948425,0.45690275427318133
EIF3E,2000,171,0.9839601701332239,0.9324510298272441,0.5002204986912596,0.39328832994134816
EIF3I,2000,44,0.981571250922478,0.8972277079311498,0.6023402026726931,0.39997010917965425
EIF3J,2000,72,0.9967149892366565,0.971429976148206,0.26440492944522764,0.15266075472357735
EIF3M,2000,209,0.9908871216067233,0.9403207354844878,0.6491596607683829,0.4416400433987507
EIF4E,2000,324,0.9884224971549032,0.9363748953000689,0.5334727051163763,0.28897626085565614
