condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
SCFD1,103,2000,0.0006167760584503412,0.017152948305010796,0.713174045085907,0.713174045085907,0.5148874517205699,0.56,0.5694860917172662,1.0508895928910582,0.6965598974018298,13.07425039714627,50
MDN1,68,2000,0.0009040205040946603,0.020488878712058067,0.6048259139060974,0.6048259139060974,0.3970392405916853,0.45,0.5258192019738356,1.1252987682384883,0.7433504247664342,13.994582935027395,50
CHERP,54,2000,0.0016526523977518082,0.025823190808296204,0.5134957432746887,0.5134957432746887,0.35753214579160897,0.37,0.32375712630619996,1.2380322009711222,0.7847898032159216,14.153151714181362,50
SRRM1,136,2000,0.0013322492595762014,0.02102929912507534,0.4226437211036682,0.4226437211036682,0.32992995145303466,0.24,0.1917685802069963,0.8867709963835335,0.6586482907375226,13.299723867388787,50
POLR3F,156,2000,0.0006177176837809384,0.016529088839888573,0.42467260360717773,0.42467260360717773,0.304380569517833,0.27,0.22876500244682216,0.9023428846101195,0.669525141844879,13.214781079799245,50
MRPL50,147,2000,0.00033530607470311224,0.012453974224627018,0.744323194026947,0.744323194026947,0.4923938319628405,0.58,0.5881024838250491,0.8700315635027357,0.6514933345760047,13.443953026314086,50
RPP14,53,2000,0.0011137750698253512,0.023219317197799683,0.8266289234161377,0.8266289234161377,0.523729587562892,0.83,0.8920820541796908,1.2632962137907975,0.7679534608841707,13.41161467574134,50
RPL9,180,2000,0.0009344273712486029,0.018767913803458214,0.964262843132019,0.964262843132019,0.8896533118741323,0.84,0.925461115663663,0.8744731532145036,0.6195591823331279,12.201160446728771,50
PRPF8,91,2000,0.0007774342666380107,0.019406164065003395,0.8970086574554443,0.8970086574554443,0.7665702564460033,0.7,0.7815697302685012,1.1645383447048763,0.7302826872172961,13.513619897934996,50
HSPE1,25,2000,0.002884091343730688,0.03401299566030502,0.7063233256340027,0.7063233256340027,0.5097068160485055,0.57,0.6394099562226018,1.0448990093479351,0.5897474517650686,11.095348245294677,50
ECD,69,2000,0.001242461963556707,0.02397540956735611,0.5917443633079529,0.5917443633079529,0.44213637391451127,0.41,0.39617300534052946,1.2290539528882944,0.7760755580628694,13.990177270278219,50
RPL10,215,2000,0.0012537376023828983,0.016959629952907562,0.9111789464950562,0.9111789464950562,0.8765806069133003,0.81,0.9162165914467076,0.8609546591698459,0.6400003158624759,12.7952695549109,50
