condition,source_context_count,pcc_delta,topk_de_overlap,pra_top100_true_de,csa_pearson
FASTKD5,0,0.7420730058157097,0.48,0.2183603689152886,0.3976475586759844
FCF1,0,0.6665020435830563,0.56,0.2005218783557729,0.3955965190267559
FNTA,0,0.060622785718422,0.14,0.1634646965597948,0.1285557776695187
GAB2,0,0.3076085843580118,0.24,0.1254967789220503,0.139529953130535
GAR1,0,0.3547263962591588,0.34,0.1879845915051613,0.3767870773779828
GATA1,0,0.2861168298396245,0.28,0.070700203947004,0.26146303751213
GEMIN5,0,0.5041345094946762,0.25,0.1481652991972876,0.1426190451613277
GINS1,0,0.7113540044982386,0.56,0.1472242676624851,0.0919485793301398
GINS4,0,0.6813108808942762,0.52,0.1566706462442117,0.0869133778689466
GNL2,0,0.6905531705276131,0.45,0.1614732691836121,0.1845321918070601
GOLT1B,0,0.3472500722571241,0.27,0.1595404948406777,0.2035921169164362
GPKOW,0,0.4054926360537425,0.25,0.1193392030801955,0.1417037119645308
GPS1,0,0.3221482183835082,0.3,0.1423731218609963,0.1861260630049785
GRPEL1,0,0.5441324539349227,0.39,0.1304743034865755,0.1158043440617032
GSPT1,0,0.5777401982458136,0.38,0.1479396100785688,0.2071642948574618
GTF2A1,0,0.5192719732047621,0.43,0.1680341581956447,0.2869699165940303
GTF2A2,0,0.7172088506962789,0.59,0.1784438041555955,0.2418169744060492
GTF2E2,0,0.5749187533273068,0.41,0.1728584432458989,0.1638562289015169
GTF2H1,0,0.6890608284177318,0.48,0.1598938819701816,0.1547658273059841
GTF2H4,0,0.411025479912486,0.34,0.1682108768499023,0.2000249707863899
GTF3C3,0,0.1857578974915762,0.33,0.1441779818722528,0.1932449659606509
GTPBP4,0,0.4782963079079607,0.36,0.1729935741456219,0.1239857199435024
GUCD1,0,0.3549669955240997,0.23,0.1302937384057307,0.119811385476185
HARS,0,0.6901723602717212,0.43,0.1500191512694579,0.2086387812928682
HAUS4,0,0.3922384420512919,0.36,0.1337925107382549,0.098140312232326
HINFP,0,0.418927888580876,0.34,0.1360570680979624,0.0951909287123353
HIRA,0,0.2815085766855553,0.24,0.1664129157851371,0.2066062418171604
HNRNPC,0,0.4768424325247146,0.32,0.1741649642336962,0.2310769152838049
HNRNPL,0,0.5300467332824037,0.4,0.1704015235427428,0.2084585445774666
HNRNPU,0,0.3705561790672561,0.28,0.1720869513623494,0.102107469789079
HSD17B12,0,0.4416795031669279,0.26,0.1151842185424978,0.1307215047473853
HSF1,0,0.133144177825271,0.27,0.1914715082688429,0.2694087861025143
HUWE1,0,0.245084073189002,0.18,0.1540301295298946,0.0770871819964399
HYPK,0,0.1745980284834809,0.22,0.1632057118207596,0.2073164511448222
