condition,state_available,mean_pcc,mean_spearman,delta_pcc,delta_spearman,top100_de_overlap,auprc
CHMP6,False,0.9945276332670631,0.9731870536192947,0.3989686433672188,0.3734352063532346,0.33,0.2476597891122586
CIAPIN1,False,0.9946887324065224,0.9680852695717743,0.27655776305297636,0.17125812784344088,0.26,0.20911335092290526
CINP,True,0.995526036330118,0.9611422275514822,0.10602760549377557,0.07100919946772137,0.17,0.09420827785948507
CKAP5,True,0.9973417025930411,0.9757132550728972,0.3098974808585013,0.23770145449637564,0.32,0.20771792807356915
CLNS1A,True,0.9910001398072504,0.9323857719210855,0.16947019425844315,0.1269331511660149,0.17,0.12200607150102089
CLP1,True,0.9924897489447234,0.9348354681249434,0.11224856981925457,0.07166684295014449,0.16,0.11620911399562622
CLSPN,False,0.9945453088097115,0.9582491703768348,0.4761335633187399,0.24914862943686508,0.41,0.3669036214812016
CLTC,False,0.9949264912902026,0.9667583864558049,0.24872636479507276,0.12333365491794972,0.3,0.24322727596310637
CMTR1,True,0.9886281645503816,0.97344435415442,0.4549127804429373,0.01362898956792967,0.64,0.6302337022855199
CNIH4,False,0.9926674693370869,0.9525849236958799,0.11629133618522013,0.018189949942295836,0.29,0.19590972044224067
CNOT1,False,0.9771653765853917,0.9293650126430916,0.44221269289997706,0.33785872051902255,0.31,0.241893677764007
CNOT2,True,0.991335454575265,0.9422445154009401,0.1956779879377511,0.10702434953593551,0.23,0.11604330283235742
CNOT3,True,0.9890335244376186,0.9547904227349592,0.30360123539655265,0.17276127407482048,0.23,0.1656334574356256
COG2,False,0.9964496555195697,0.9779603213973288,0.050642865099287324,0.012582809899976882,0.16,0.12631501334280582
COG3,False,0.9946101847004534,0.9552158710449634,0.31098572496072496,0.15227562041419043,0.32,0.306403463248836
COPB1,True,0.9733781880392971,0.8339956577547368,0.4886984767586631,0.30227536115535203,0.37,0.3572739025107483
COPB2,False,0.9899462390692909,0.9392942125877957,0.5731582209666122,0.3926421372434801,0.46,0.42557301825673205
COPS2,True,0.9886022954039014,0.9029397353002052,0.21527626146593196,0.1605565742488233,0.19,0.13609445545150897
COPS3,False,0.9934902008594428,0.9517225970014362,0.2583705724785778,0.19275705948259741,0.31,0.19778664189866346
COPS4,True,0.995830436855405,0.9711150545614892,0.24909323813981868,0.19690321782301393,0.29,0.1639841259352518
COPS5,False,0.9941047684386595,0.9559398124763216,0.1116342585103173,0.1028491224713448,0.3,0.20598911294803565
COPS6,False,0.9956424749411306,0.9730297723667444,0.27000926440865153,0.19151963460282986,0.4,0.2629399742869085
COPS8,False,0.9957472145351983,0.9744204824017895,0.07864694656852154,0.14948641875554228,0.27,0.1843010984305654
COPZ1,False,0.9922623769652362,0.9550572270665292,0.5443073321698987,0.35476962206412677,0.4,0.35605242869577497
COX11,True,0.9971304460144821,0.970468287951987,0.12493325587253992,0.11798092913905758,0.14,0.09513170244055112
COX15,False,0.9951368853690107,0.9640412627050794,0.310158993265897,0.19724650781323774,0.27,0.21262034216154588
COX17,True,0.9975722432094851,0.9734805147426233,0.20536855543982874,0.12504482123957805,0.24,0.18204084180379235
COX7C,True,0.9978772220639728,0.9769231515873479,0.3702487252273199,0.2432551101763431,0.29,0.28664562123942217
CPSF1,True,0.9897685307755988,0.9210462770056825,0.11811021995532846,0.06912761084459335,0.13,0.1056062097291396
CPSF3,True,0.9929901500620543,0.9719105946243146,0.2673063414677719,0.21073399118618977,0.2,0.17472953434886918
CPSF4,True,0.9849073903783365,0.9153947273561263,0.2273262439925767,0.17514849549400588,0.28,0.21324203609846384
CPSF6,True,0.9828055716872586,0.8962798061371658,0.19989076640864153,0.11460192334092563,0.22,0.149802443872397
CRNKL1,False,0.9968350790230484,0.9754137496253148,0.6187875210595789,0.49136129222746355,0.48,0.41876962738502244
CSE1L,True,0.9781655430087741,0.899704542676015,0.4389563939633709,0.308454967462079,0.31,0.28202880617320825
CSNK1A1,True,0.9966566777586171,0.9703858365863638,0.09963345943782856,0.07894846978019367,0.19,0.11766405443731412
CSNK2B,True,0.9941615326433796,0.9510905388010342,0.1842647082612976,0.13801951280597802,0.25,0.16147130976287752
CSTF1,False,0.9945991460056561,0.9649556438077554,0.3814418137153277,0.24224991264933454,0.4,0.34035629322674504
CSTF3,True,0.9898354986181833,0.9302250174033708,0.21723623390263228,0.1221165874487272,0.28,0.18842792239484715
CTDP1,False,0.9935181425067157,0.9635140480524701,0.30301189458297656,0.2206292437397254,0.39,0.27181112229049686
CTNNBL1,False,0.9924838605283934,0.9541587809672741,0.11880222142599113,0.08047419896345544,0.31,0.20565166460414688
CTR9,True,0.9814513411914074,0.9232799550429052,0.3736778711446453,0.35278548744203675,0.28,0.19651595793556076
CUL1,False,0.9960479978844127,0.9746340601323452,0.10428905819892073,0.06378092063185016,0.26,0.21569409464582218
CUL2,True,0.994664315417127,0.9582330406982861,0.09403889764668018,0.04941710255802804,0.25,0.1723872540195453
CUL7,True,0.9843503650428088,0.8711848965036066,0.33806569762844396,0.21126167388750694,0.32,0.24255750664580206
CWC15,True,0.9894783976717627,0.9307858068354162,0.649419134978567,0.5861258934830783,0.37,0.2823263352787627
