model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
Scouter_GenePTv1_40ep_fixed2000,MRPL4,top_true_de,100,109,2000,4950,0.557671710036914,0.504083328880788
Scouter_GenePTv1_40ep_fixed2000,MCM3AP,top_true_de,100,100,2000,4950,0.4972997760755016,0.44973711669659533
Scouter_GenePTv1_40ep_fixed2000,TRMT5,top_true_de,100,93,2000,4950,0.6849785079391663,0.6861987295106659
Scouter_GenePTv1_40ep_fixed2000,MRPS27,top_true_de,100,76,2000,4950,0.5914250726410509,0.5671001082935921
Scouter_GenePTv1_40ep_fixed2000,RBM39,top_true_de,100,49,2000,4950,0.5995356414489916,0.5843519227829113
Scouter_GenePTv1_40ep_fixed2000,HSPA8,top_true_de,100,146,2000,4950,0.6241449659241547,0.6049483674990443
Scouter_GenePTv1_40ep_fixed2000,SURF6,top_true_de,100,113,2000,4851,0.663447636390773,0.6062497221599341
Scouter_GenePTv1_40ep_fixed2000,NUBP1,top_true_de,100,144,2000,4950,0.7669973519017037,0.7649348724747947
Scouter_GenePTv1_40ep_fixed2000,HEATR1,top_true_de,100,216,2000,4950,0.7180784970205556,0.6798807371617172
Scouter_GenePTv1_40ep_fixed2000,PRPF4B,top_true_de,100,160,2000,4851,0.4704208125482969,0.4508150457949336
Scouter_GenePTv1_40ep_fixed2000,POLR1E,top_true_de,100,202,2000,4950,0.7536947886738362,0.726989613787903
Scouter_GenePTv1_40ep_fixed2000,MRPS24,top_true_de,100,132,2000,4950,0.6267178940108025,0.5078364758062457
Scouter_GenePTv1_40ep_fixed2000,EIF2B3,top_true_de,100,96,2000,4950,0.724018060545107,0.7324503115648189
Scouter_GenePTv1_40ep_fixed2000,SRFBP1,top_true_de,100,73,2000,4851,0.6884769456527932,0.6541809759983764
Scouter_GenePTv1_40ep_fixed2000,PUF60,top_true_de,100,52,2000,4950,0.354899519473448,0.31821013160801065
Scouter_GenePTv1_40ep_fixed2000,RPS23,top_true_de,100,98,2000,4950,0.7186435387011423,0.7324319867549143
Scouter_GenePTv1_40ep_fixed2000,SCFD1,top_true_de,100,103,2000,4950,0.8230232950717653,0.8336837895348526
Scouter_GenePTv1_40ep_fixed2000,MDN1,top_true_de,100,68,2000,4851,0.5321930551194195,0.4844533391809769
Scouter_GenePTv1_40ep_fixed2000,CHERP,top_true_de,100,54,2000,4950,0.5753791368131761,0.5477758537151164
Scouter_GenePTv1_40ep_fixed2000,SRRM1,top_true_de,100,136,2000,4950,0.4949652535206778,0.4312439905031974
Scouter_GenePTv1_40ep_fixed2000,POLR3F,top_true_de,100,156,2000,4950,0.5701077691728195,0.5005656869381512
Scouter_GenePTv1_40ep_fixed2000,MRPL50,top_true_de,100,147,2000,4851,0.6204918183969822,0.5304412606141424
Scouter_GenePTv1_40ep_fixed2000,RPP14,top_true_de,100,53,2000,4950,0.5637649319211598,0.5436827840097105
